Zaman,X_Koordinati,Y_Koordinati,Hastalik_Adi,Yayilma_Orani_%,Risk_Skoru
1777910924.05,0.500159706583388,1.84993967918716,Early Blight,33.13,49.84
1777910924.08,0.500159706583388,1.84993967918716,Early Blight,32.52,49.61
1777910924.11,0.500159706583388,1.84993967918716,Early Blight,32.75,49.7
1777910946.61,0.500000090745102,5.2249396650693,Yellow Leaf Curl Virus,8.01,65.22
1777910946.71,0.500000090745102,5.2249396650693,Yellow Leaf Curl Virus,9.27,65.69
1777910946.81,0.500000090745102,5.2249396650693,Yellow Leaf Curl Virus,9.66,65.83
1777910946.91,0.500000090745102,5.2249396650693,Leaf Mold,11.3,23.25
1777910947.01,0.500000076860106,5.2999396650693,Leaf Mold,11.31,23.25
1777910947.31,0.500000076860106,5.2999396650693,Bacterial Spot,11.71,48.08
1777910947.61,0.500000065099666,5.3749396650693,Leaf Mold,11.58,23.35
1777910947.71,0.500000065099666,5.3749396650693,Leaf Mold,17.87,25.68
1777910947.8,0.500000065099666,5.3749396650693,Leaf Mold,11.09,23.17
1777910948.31,0.500000055138703,5.4499396650693,Bacterial Spot,18.98,50.77
1777910949.21,0.500000039555977,5.59993966506929,Leaf Mold,18.82,26.03
1777910949.31,0.500000039555977,5.59993966506929,Bacterial Spot,17.67,50.28
1777910949.51,0.500000033503479,5.67493966506929,Spider Mites,9.5,34.92
1777910950.31,0.500000028377079,5.74993966506929,Yellow Leaf Curl Virus,10.43,66.12
1777910950.9,0.500000024035074,5.82493966506929,Septoria,18.28,32
1777910951,0.500000020357444,5.89993966506929,Septoria,17.98,31.89
1777910951.71,0.500000017242532,5.97493966506929,Leaf Mold,14.49,24.43
1777910951.81,0.500000017242532,5.97493966506929,Leaf Mold,15.81,24.92
1777910952.1,0.500000014604235,6.04993966506928,Spider Mites,10.69,35.36
1777910952.31,0.500000014604235,6.04993966506928,Leaf_Miner,5.35,14.87
1777910952.41,0.500000014604235,6.04993966506928,Leaf_Miner,8.16,15.91
1777910952.51,0.500000012369627,6.12493966506928,Leaf_Miner,8.06,15.88
1777910952.6,0.500000012369627,6.12493966506928,Leaf Mold,12.87,23.83
1777910952.71,0.500000012369627,6.12493966506928,Leaf Mold,12.8,23.8
1777910952.82,0.500000012369627,6.12493966506928,Leaf Mold,12.75,23.78
1777910953.11,0.500000010476938,6.19993966506928,Mosaic Virus,8.1,65.26
1777910953.9,0.500000008873852,6.27493966506928,Spider Mites,9.99,35.1
1777910954.01,0.500000007516055,6.34993966506928,Spider Mites,10.62,35.34
1777910954.11,0.500000007516055,6.34993966506928,Leaf Mold,12.89,23.83
1777910954.21,0.500000007516055,6.34993966506928,Leaf Mold,13,23.88
1777910955.41,0.500000005391946,6.49993966506927,Mosaic Virus,8.11,65.26
1777910955.51,0.500000004566919,6.57493966506927,Mosaic Virus,7.98,65.21
1777910955.91,0.500000004566919,6.57493966506927,Yellow Leaf Curl Virus,14.47,67.61
1777910956.01,0.50000000386813,6.64993966506927,Yellow Leaf Curl Virus,14.39,67.58
1777910957.4,0.50000000277496,6.79993966506927,Yellow Leaf Curl Virus,15.9,68.14
1777910957.51,0.50000000235036,6.87493966506927,Yellow Leaf Curl Virus,15.75,68.09
1777910957.61,0.50000000235036,6.87493966506927,Mosaic Virus,11.61,66.55
1777910957.71,0.50000000235036,6.87493966506927,Mosaic Virus,11.92,66.67
1777910957.82,0.50000000235036,6.87493966506927,Mosaic Virus,11.74,66.6
1777910957.91,0.50000000235036,6.87493966506927,Mosaic Virus,15.07,67.84
1777910958.01,0.500000001990729,6.94993966506927,Mosaic Virus,14.67,67.69
1777910958.1,0.500000001990729,6.94993966506927,Leaf Mold,11.98,23.5
1777910958.41,0.500000001990729,6.94993966506927,Septoria,16.43,31.32
1777910958.51,0.500000001686126,7.02493966506926,Septoria,16.51,31.34
1777910959.51,0.500000001209611,7.17493966506926,Early Blight,18.59,44.46
1777910959.61,0.500000001209611,7.17493966506926,Leaf Mold,14.71,24.51
1777910960.31,0.500000001024527,7.24993966506926,Leaf Mold,13.68,24.13
1777910960.41,0.500000001024527,7.24993966506926,Leaf Mold,19.06,26.12
1777910961.51,0.500000000622525,7.47493966506925,Mosaic Virus,17.59,68.77
1777910962.11,0.500000000527272,7.54993966506925,Leaf Mold,14.28,24.35
1777910962.2,0.500000000527272,7.54993966506925,Leaf Mold,12.57,23.72
1777910962.31,0.500000000527272,7.54993966506925,Yellow Leaf Curl Virus,11.5,66.51
1777910963.31,0.50000000037826,7.69993966506925,Yellow Leaf Curl Virus,13.41,67.22
1777910964.4,0.50000000027136,7.84993966506925,Leaf Mold,8.46,22.2
1777910964.51,0.500000000229839,7.92493966506924,Leaf Mold,7.94,22
1777910964.91,0.500000000229839,7.92493966506924,Early Blight,15.62,43.35
1777910965.01,0.500000000194671,7.99993966506924,Early Blight,16.34,43.62
1777910965.11,0.500000000194671,7.99993966506924,Early Blight,15.26,43.22
1777910965.21,0.500000000194671,7.99993966506924,Leaf Mold,16.75,25.26
1777910965.61,0.500000000164884,8.07493966506924,Yellow Leaf Curl Virus,15.39,67.95
1777910965.71,0.500000000164884,8.07493966506924,Yellow Leaf Curl Virus,15.4,67.96
1777910966.11,0.500000000139655,8.14993966506925,Late Blight,15.09,55.5
1777910966.4,0.500000000139655,8.14993966506925,Leaf Mold,12.47,23.68
1777910967.7,0.500000000084858,8.37493966506926,Leaf Mold,13.73,24.15
1777910967.8,0.500000000084858,8.37493966506926,Leaf Mold,13.54,24.08
